type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
DEBIT,5224.91,C41,82153.99,76929.08,D41,10993.46,16218.369999999999,0,0
CASH_OUT,36013.68,C42,64569.07,28555.39,D42,74587.95,110601.63,0,0
DEBIT,34364.46,C43,40241.85,5877.389999999999,D43,26207.09,60571.55,0,0
TRANSFER,4788.61,C44,47190.91,42402.3,D44,65414.56,70203.17,0,0
TRANSFER,46128.7,C45,71672.48,25543.78,D45,69919.89,116048.59,0,0
CASH_OUT,28424.04,C46,87630.6,59206.560000000005,D46,34511.85,62935.89,0,0
TRANSFER,18186.91,C47,27221.88,9034.970000000001,D47,47491.9,65678.81,0,0
CASH_IN,37827.17,C48,34207.68,0.0,D48,40376.71,78203.88,0,0
TRANSFER,12869.02,C49,93073.94,80204.92,D49,94734.9,107603.92,0,0
DEBIT,34675.8,C50,57851.18,23175.379999999997,D50,31994.89,66670.69,0,0
DEBIT,1986.52,C51,17896.18,15909.66,D51,18332.3,20318.82,0,0
DEBIT,41970.56,C52,66369.51,24398.949999999997,D52,36559.28,78529.84,0,0
DEBIT,22409.09,C53,99076.22,76667.13,D53,66951.57,89360.66,0,0
CASH_IN,31835.01,C54,82345.36,50510.350000000006,D54,69736.27,101571.28,0,0
PAYMENT,11062.67,C55,74574.11,63511.44,D55,92405.73,103468.4,0,0
CASH_OUT,33854.01,C56,20804.67,0.0,D56,88175.45,122029.45999999999,0,0
DEBIT,38612.24,C57,87613.98,49001.74,D57,28832.05,67444.29,0,0
TRANSFER,23661.19,C58,52578.88,28917.69,D58,45516.32,69177.51,0,0
DEBIT,30886.73,C59,88929.0,58042.270000000004,D59,74726.9,105613.62999999999,0,0
TRANSFER,22816.84,C60,32982.78,10165.939999999999,D60,91653.73,114470.56999999999,0,0
TRANSFER,44704.67,C61,6205.11,0.0,D61,33716.5,78421.17,0,0
DEBIT,24893.96,C62,47597.6,22703.64,D62,44444.14,69338.1,0,0
CASH_IN,42090.59,C63,26983.76,0.0,D63,89947.83,132038.41999999998,0,0
TRANSFER,40067.8,C64,71522.93,31455.12999999999,D64,35848.39,75916.19,0,0
TRANSFER,20525.83,C65,95710.66,75184.83,D65,48051.3,68577.13,0,0
DEBIT,11504.99,C66,69097.42,57592.43,D66,90450.41,101955.40000000001,0,0
TRANSFER,20304.7,C67,88693.39,68388.69,D67,80224.32,100529.02,0,0
TRANSFER,41311.04,C68,45302.4,3991.3600000000006,D68,24343.09,65654.13,0,0
DEBIT,11382.4,C69,77164.07,65781.67000000001,D69,32479.51,43861.909999999996,0,0
DEBIT,26222.29,C70,84304.34,58082.049999999996,D70,35295.87,61518.16,0,0
CASH_OUT,40305.03,C71,71087.56,30782.53,D71,91273.85,131578.88,0,0
CASH_IN,17674.52,C72,50777.73,33103.21000000001,D72,99893.37,117567.89,0,0
CASH_IN,32110.84,C73,62586.61,30475.77,D73,77400.43,109511.26999999999,0,0
TRANSFER,12282.33,C74,70050.7,57768.369999999995,D74,48432.63,60714.96,0,0
CASH_IN,5464.86,C75,25308.44,19843.579999999998,D75,1017.38,6482.24,0,0
TRANSFER,39719.42,C76,80957.93,41238.509999999995,D76,69748.81,109468.23,0,0
CASH_OUT,4949.33,C77,95032.45,90083.12,D77,38936.12,43885.450000000004,0,0
DEBIT,13569.8,C78,46523.93,32954.130000000005,D78,63298.65,76868.45,0,0
DEBIT,42755.62,C79,70106.72,27351.1,D79,60669.4,103425.02,0,0
DEBIT,17324.12,C80,73702.59,56378.47,D80,48083.21,65407.33,0,0
CASH_IN,48652.29,C81,66224.75,17572.46,D81,94438.74,143091.03,0,0
CASH_OUT,48986.74,C82,54711.51,5724.770000000004,D82,2314.63,51301.369999999995,0,0
CASH_IN,13414.53,C83,88164.8,74750.27,D83,71213.25,84627.78,0,0
CASH_IN,2049.87,C84,44892.67,42842.799999999996,D84,40983.99,43033.86,0,0
CASH_OUT,35253.46,C85,6110.3,0.0,D85,71379.05,106632.51000000001,0,0
CASH_OUT,22549.87,C86,84455.64,61905.770000000004,D86,67521.96,90071.83,0,0
CASH_OUT,5038.54,C87,67398.13,62359.590000000004,D87,1023.8,6062.34,0,0
CASH_OUT,35376.43,C88,84925.86,49549.43,D88,28533.85,63910.28,0,0
DEBIT,1559.71,C89,13854.74,12295.029999999999,D89,18909.15,20468.86,0,0
PAYMENT,43509.96,C90,3075.29,0.0,D90,16698.64,60208.6,0,0
PAYMENT,6933.49,C91,93437.45,86503.95999999999,D91,72847.67,79781.16,0,0
CASH_OUT,6366.47,C92,14772.83,8406.36,D92,23955.13,30321.600000000002,0,0
PAYMENT,8784.44,C93,80965.23,72180.79,D93,47473.76,56258.200000000004,0,0
PAYMENT,48013.36,C94,82320.99,34307.630000000005,D94,24698.9,72712.26000000001,0,0
CASH_OUT,34658.77,C95,70870.52,36211.75000000001,D95,58023.38,92682.15,0,0
PAYMENT,40068.78,C96,13126.22,0.0,D96,72057.38,112126.16,0,0
CASH_IN,19882.35,C97,66739.86,46857.51,D97,33107.47,52989.82,0,0
TRANSFER,16816.3,C98,88908.66,72092.36,D98,60302.08,77118.38,0,0
TRANSFER,11724.97,C99,42553.16,30828.190000000002,D99,82485.48,94210.45,0,0
CASH_OUT,24032.92,C100,41351.69,17318.770000000004,D100,9422.43,33455.35,0,0
DEBIT,27591.88,C101,44285.83,16693.95,D101,71067.06,98658.94,0,0
CASH_OUT,31589.11,C102,8227.19,0.0,D102,32314.49,63903.600000000006,0,0
DEBIT,12856.67,C103,89202.56,76345.89,D103,12265.0,25121.67,1,0
TRANSFER,47432.76,C104,86918.29,39485.52999999999,D104,54565.42,101998.18,0,0
CASH_OUT,8488.76,C105,99790.93,91302.17,D105,22626.23,31114.989999999998,0,0
CASH_IN,48282.69,C106,58518.31,10235.619999999995,D106,82136.18,130418.87,0,0
PAYMENT,743.79,C107,75119.16,74375.37000000001,D107,4289.59,5033.38,0,0
DEBIT,24056.8,C108,20267.19,0.0,D108,9865.29,33922.09,0,0
PAYMENT,16669.06,C109,66752.88,50083.82000000001,D109,52099.61,68768.67,0,0
PAYMENT,22456.72,C110,64973.28,42516.56,D110,58894.18,81350.9,0,0
CASH_OUT,28533.66,C111,90120.87,61587.20999999999,D111,72988.67,101522.33,0,0
PAYMENT,21780.02,C112,83079.27,61299.25,D112,25926.07,47706.09,0,0
CASH_IN,20742.93,C113,93846.65,73103.72,D113,84176.04,104918.97,0,0
PAYMENT,36636.44,C114,86883.35,50246.91,D114,95314.23,131950.66999999998,0,0
CASH_OUT,34294.13,C115,86869.39,52575.26,D115,49903.93,84198.06,0,0
CASH_IN,41663.73,C116,6372.33,0.0,D116,76053.14,117716.87,0,0
TRANSFER,12498.7,C117,84596.2,72097.5,D117,52484.84,64983.53999999999,0,0
PAYMENT,30476.82,C118,60747.84,30271.019999999997,D118,6946.7,37423.52,0,0
CASH_OUT,29260.15,C119,38044.45,8784.299999999996,D119,32611.15,61871.3,0,0
TRANSFER,18487.52,C120,5651.46,0.0,D120,8748.67,27236.190000000002,0,0
TRANSFER,24303.39,C121,67767.38,43463.990000000005,D121,98887.91,123191.3,0,0
DEBIT,15689.79,C122,32820.18,17130.39,D122,22902.59,38592.380000000005,0,0
CASH_IN,7093.08,C123,46777.63,39684.549999999996,D123,63590.04,70683.12,0,0
PAYMENT,10690.85,C124,68172.84,57481.99,D124,28434.51,39125.36,0,0
CASH_OUT,5276.58,C125,91177.45,85900.87,D125,65324.62,70601.2,0,0
DEBIT,34153.8,C126,82543.69,48389.89,D126,21040.17,55193.97,1,0
CASH_IN,33036.71,C127,45059.71,12023.0,D127,78527.01,111563.72,0,0
DEBIT,47530.37,C128,38778.32,0.0,D128,11081.16,58611.53,0,0
CASH_IN,36484.19,C129,23977.97,0.0,D129,89515.04,125999.23,0,0
CASH_IN,2603.24,C130,37242.68,34639.44,D130,84042.17,86645.41,0,0
PAYMENT,44212.37,C131,11104.64,0.0,D131,67880.73,112093.1,0,0
CASH_IN,43133.9,C132,97110.55,53976.65,D132,6741.46,49875.36,0,0
DEBIT,22166.57,C133,57391.74,35225.17,D133,20856.9,43023.47,0,0
CASH_IN,29293.57,C134,12780.58,0.0,D134,85936.16,115229.73000000001,0,0
PAYMENT,48803.94,C135,35280.6,0.0,D135,12197.44,61001.380000000005,0,0
PAYMENT,26615.69,C136,54703.91,28088.220000000005,D136,15593.21,42208.899999999994,0,0
DEBIT,45266.19,C137,53288.56,8022.369999999995,D137,54400.33,99666.52,0,0
TRANSFER,4152.85,C138,3550.34,0.0,D138,27417.74,31570.590000000004,0,0
TRANSFER,9553.4,C139,95084.1,85530.70000000001,D139,22207.57,31760.97,1,0
CASH_IN,22038.31,C140,27537.57,5499.259999999998,D140,57581.34,79619.65,0,0
CASH_OUT,29238.26,C141,1618.47,0.0,D141,37257.67,66495.93,0,0
CASH_IN,40811.58,C142,7644.4,0.0,D142,14055.99,54867.57,0,0
DEBIT,49413.12,C143,58019.49,8606.369999999995,D143,53485.38,102898.5,0,0
DEBIT,19443.19,C144,13778.55,0.0,D144,38701.24,58144.42999999999,0,0
DEBIT,2371.73,C145,4172.48,1800.7499999999995,D145,73451.68,75823.40999999999,0,0
DEBIT,40058.77,C146,37962.65,0.0,D146,10275.54,50334.31,0,0
DEBIT,30219.43,C147,62276.12,32056.690000000002,D147,62061.32,92280.75,0,0
PAYMENT,9927.94,C148,11183.98,1256.039999999999,D148,43649.33,53577.270000000004,0,0
TRANSFER,24741.93,C149,31332.78,6590.8499999999985,D149,40606.19,65348.12,0,0
DEBIT,37115.77,C150,41776.07,4660.300000000003,D150,23228.77,60344.53999999999,0,0
CASH_OUT,38520.82,C151,15946.01,0.0,D151,3042.6,41563.42,0,0
CASH_OUT,24981.42,C152,50607.39,25625.97,D152,84768.92,109750.34,0,0
CASH_OUT,15261.42,C153,8521.41,0.0,D153,32641.01,47902.43,0,0
CASH_OUT,48687.16,C154,4651.85,0.0,D154,68109.1,116796.26000000001,0,0
PAYMENT,33168.47,C155,51983.54,18815.07,D155,94758.74,127927.21,0,0
CASH_OUT,20412.47,C156,24789.7,4377.23,D156,56499.03,76911.5,0,0
DEBIT,14023.88,C157,9537.38,0.0,D157,39714.69,53738.57,0,0
CASH_IN,36555.42,C158,42391.26,5835.840000000004,D158,26827.36,63382.78,0,0
CASH_OUT,12109.93,C159,91514.07,79404.14000000001,D159,93404.38,105514.31,0,0
PAYMENT,8586.33,C160,72419.24,63832.91,D160,68207.68,76794.01,0,0
PAYMENT,26492.16,C161,81561.59,55069.42999999999,D161,66528.14,93020.3,0,0
CASH_OUT,14500.08,C162,87191.4,72691.31999999999,D162,42615.83,57115.91,0,0
CASH_IN,31445.63,C163,97262.77,65817.14,D163,84504.87,115950.5,0,0
CASH_OUT,5897.82,C164,76324.66,70426.84,D164,71367.22,77265.04000000001,0,0
PAYMENT,32747.4,C165,60840.79,28093.39,D165,28318.33,61065.73,0,0
TRANSFER,14165.54,C166,36542.59,22377.049999999996,D166,59957.87,74123.41,0,0
DEBIT,13.15,C167,18164.32,18151.17,D167,43019.4,43032.55,0,0
PAYMENT,6347.68,C168,68665.99,62318.310000000005,D168,659.02,7006.700000000001,0,0
CASH_OUT,46680.84,C169,99495.0,52814.16,D169,80762.34,127443.18,0,0
DEBIT,43367.86,C170,46735.87,3368.010000000002,D170,12283.03,55650.89,0,0
CASH_OUT,11681.22,C171,72367.94,60686.72,D171,50995.45,62676.67,0,0
CASH_OUT,38918.82,C172,49509.24,10590.419999999998,D172,33622.62,72541.44,0,0
TRANSFER,30428.97,C173,43193.34,12764.369999999995,D173,34208.9,64637.87,0,0
DEBIT,48545.26,C174,41030.56,0.0,D174,47736.49,96281.75,0,0
DEBIT,18680.91,C175,50462.47,31781.56,D175,99702.31,118383.22,0,0
TRANSFER,34073.35,C176,36689.57,2616.220000000001,D176,40837.97,74911.32,0,0
PAYMENT,3177.72,C177,74877.33,71699.61,D177,18232.92,21410.64,0,0
CASH_OUT,19812.97,C178,87427.2,67614.23,D178,61360.63,81173.6,0,0
CASH_IN,48190.92,C179,88288.53,40097.61,D179,23628.77,71819.69,0,0
CASH_OUT,26949.5,C180,22769.87,0.0,D180,10554.91,37504.41,0,0
CASH_OUT,14394.69,C181,89590.91,75196.22,D181,5017.42,19412.11,0,0
PAYMENT,6014.43,C182,34155.12,28140.690000000002,D182,2288.13,8302.560000000001,0,0
CASH_OUT,35176.71,C183,30930.77,0.0,D183,43116.46,78293.17,0,0
TRANSFER,32243.16,C184,72675.61,40432.45,D184,42672.58,74915.74,0,0
TRANSFER,18697.56,C185,30469.63,11772.07,D185,18554.54,37252.100000000006,0,0
DEBIT,47547.12,C186,5296.64,0.0,D186,78401.91,125949.03,0,0
CASH_IN,1111.12,C187,37361.78,36250.659999999996,D187,12927.06,14038.18,1,0
CASH_OUT,15186.89,C188,72146.56,56959.67,D188,91531.72,106718.61,1,0
CASH_OUT,46053.55,C189,32695.84,0.0,D189,58757.6,104811.15,0,0
PAYMENT,16047.45,C190,62955.91,46908.46000000001,D190,2761.64,18809.09,0,0
TRANSFER,12613.39,C191,66011.94,53398.55,D191,96297.26,108910.65,0,0
CASH_IN,26711.49,C192,73373.6,46662.11,D192,30794.13,57505.62,0,0
DEBIT,41190.26,C193,89713.05,48522.79,D193,44997.5,86187.76000000001,0,0
TRANSFER,5158.23,C194,43256.45,38098.22,D194,28426.87,33585.1,0,0
DEBIT,47151.09,C195,16643.21,0.0,D195,72842.13,119993.22,0,0
PAYMENT,39753.85,C196,31892.57,0.0,D196,48568.02,88321.87,0,0
PAYMENT,9063.33,C197,43216.73,34153.4,D197,13237.3,22300.629999999997,0,0
CASH_OUT,35600.69,C198,71389.15,35788.45999999999,D198,10420.4,46021.090000000004,0,0
CASH_IN,19248.55,C199,1312.21,0.0,D199,72537.54,91786.09,0,0
DEBIT,20115.33,C200,31578.54,11463.21,D200,23708.14,43823.47,0,0
TRANSFER,39164.72,C201,77984.26,38819.53999999999,D201,13779.34,52944.06,0,0
PAYMENT,48139.28,C202,67085.77,18946.490000000005,D202,49942.76,98082.04000000001,0,0
CASH_OUT,6333.67,C203,73174.0,66840.33,D203,80276.53,86610.2,0,0
CASH_OUT,21032.09,C204,81181.08,60148.990000000005,D204,27878.27,48910.36,0,0
DEBIT,24047.6,C205,78323.57,54275.97000000001,D205,27643.16,51690.759999999995,0,0
PAYMENT,18816.21,C206,68218.32,49402.11000000001,D206,83388.13,102204.34,0,0
CASH_IN,18160.09,C207,43966.15,25806.06,D207,14783.38,32943.47,0,0
PAYMENT,2614.38,C208,98359.83,95745.45,D208,61672.76,64287.14,0,0
DEBIT,34277.25,C209,56907.32,22630.07,D209,95501.35,129778.6,0,0
DEBIT,21811.28,C210,20276.92,0.0,D210,84130.31,105941.59,0,0
PAYMENT,9740.5,C211,29281.29,19540.79,D211,6181.52,15922.02,0,0
DEBIT,40801.86,C212,69356.25,28554.39,D212,31991.09,72792.95,0,0
PAYMENT,40128.23,C213,92473.96,52345.73,D213,14237.45,54365.68000000001,0,0
TRANSFER,24320.1,C214,17872.01,0.0,D214,94924.06,119244.16,0,0
PAYMENT,14923.23,C215,8234.65,0.0,D215,98594.16,113517.39,0,0
PAYMENT,31905.0,C216,88153.1,56248.100000000006,D216,23499.3,55404.3,0,0
DEBIT,14408.32,C217,91527.8,77119.48000000001,D217,66969.9,81378.22,0,0
DEBIT,11801.16,C218,27637.93,15836.77,D218,84163.17,95964.33,0,0
CASH_OUT,36526.0,C219,37728.57,1202.5699999999997,D219,23368.03,59894.03,0,0
CASH_OUT,2017.22,C220,66018.8,64001.58,D220,18768.06,20785.280000000002,1,0
TRANSFER,4739.33,C221,32993.0,28253.67,D221,1121.1,5860.43,0,0
CASH_OUT,340.4,C222,87715.87,87375.47,D222,41196.25,41536.65,0,0
PAYMENT,7648.01,C223,10757.87,3109.8600000000006,D223,89943.75,97591.76,0,0
DEBIT,3450.43,C224,3798.22,347.78999999999996,D224,90297.96,93748.39,0,0
CASH_OUT,49790.12,C225,20848.62,0.0,D225,12774.31,62564.43,0,0
CASH_OUT,14441.21,C226,28608.78,14167.57,D226,20435.25,34876.46,0,0
TRANSFER,7464.25,C227,11292.66,3828.41,D227,40804.73,48268.98,0,0
TRANSFER,12050.57,C228,6569.04,0.0,D228,78062.45,90113.01999999999,0,0
PAYMENT,46806.34,C229,75560.77,28754.430000000008,D229,61185.15,107991.48999999999,0,0
DEBIT,26008.49,C230,16427.66,0.0,D230,51384.97,77393.46,0,0
TRANSFER,18241.54,C231,91392.22,73150.68,D231,59193.19,77434.73000000001,0,0
CASH_OUT,43669.7,C232,36799.97,0.0,D232,9619.97,53289.67,0,0
DEBIT,19750.12,C233,67060.58,47310.46000000001,D233,47766.36,67516.48,0,0
DEBIT,16751.09,C234,22540.21,5789.119999999999,D234,99206.33,115957.42,0,0
CASH_OUT,10364.92,C235,24032.28,13667.359999999999,D235,8844.61,19209.53,1,0
TRANSFER,18890.46,C236,57470.92,38580.46,D236,51924.67,70815.13,0,0
CASH_OUT,15834.9,C237,56064.29,40229.39,D237,29564.93,45399.83,0,0
DEBIT,33865.52,C238,76872.92,43007.4,D238,53991.33,87856.85,0,0
CASH_IN,14479.85,C239,75781.33,61301.48,D239,57381.88,71861.73,0,0
CASH_IN,28860.41,C240,67068.78,38208.369999999995,D240,57747.29,86607.7,0,0
PAYMENT,3295.54,C241,44913.06,41617.52,D241,85220.88,88516.42,0,0
CASH_OUT,9565.27,C242,89064.04,79498.76999999999,D242,38974.74,48540.009999999995,1,0
CASH_OUT,20370.86,C243,62257.85,41886.99,D243,51635.42,72006.28,0,0
PAYMENT,46847.53,C244,99019.85,52172.32000000001,D244,1092.84,47940.369999999995,0,0
PAYMENT,18863.22,C245,81936.98,63073.759999999995,D245,78955.06,97818.28,0,0
PAYMENT,33204.04,C246,4430.98,0.0,D246,25948.77,59152.81,0,0
DEBIT,12755.11,C247,32059.39,19304.28,D247,81655.5,94410.61,0,0
CASH_OUT,6352.55,C248,57187.57,50835.02,D248,26563.87,32916.42,1,0
DEBIT,2927.77,C249,72146.95,69219.18,D249,1078.85,4006.62,0,0
PAYMENT,15271.37,C250,55033.65,39762.28,D250,15483.13,30754.5,0,0
CASH_OUT,7883.89,C251,78613.04,70729.15,D251,98568.29,106452.18,0,0
DEBIT,8701.35,C252,28265.57,19564.22,D252,31980.12,40681.47,0,0
DEBIT,38038.2,C253,18391.21,0.0,D253,10882.39,48920.59,0,0
PAYMENT,792.89,C254,5391.67,4598.78,D254,11875.88,12668.769999999999,0,0
CASH_OUT,27890.95,C255,57331.37,29440.420000000002,D255,31034.27,58925.22,0,0
PAYMENT,18973.69,C256,68859.95,49886.259999999995,D256,3764.5,22738.19,0,0
CASH_OUT,25327.99,C257,32614.97,7286.98,D257,51148.86,76476.85,0,0
CASH_IN,28141.95,C258,61358.42,33216.47,D258,21374.09,49516.04,0,0
TRANSFER,15669.07,C259,5215.72,0.0,D259,51931.06,67600.13,0,0
TRANSFER,14756.15,C260,9929.33,0.0,D260,14076.42,28832.57,0,0
TRANSFER,36670.36,C261,70175.48,33505.119999999995,D261,42985.72,79656.08,0,0
PAYMENT,43563.98,C262,36806.97,0.0,D262,59791.69,103355.67000000001,0,0
CASH_IN,9629.89,C263,67133.4,57503.509999999995,D263,6199.99,15829.88,0,0
CASH_OUT,4881.84,C264,83172.11,78290.27,D264,39874.93,44756.770000000004,0,0
DEBIT,44889.89,C265,85262.24,40372.350000000006,D265,30252.38,75142.27,0,0
CASH_OUT,17495.42,C266,17216.76,0.0,D266,24035.98,41531.399999999994,0,0
DEBIT,27566.32,C267,48628.56,21062.239999999998,D267,60453.46,88019.78,0,0
CASH_OUT,17977.8,C268,73392.67,55414.869999999995,D268,58854.2,76832.0,0,0
CASH_IN,6290.99,C269,77398.06,71107.06999999999,D269,63069.98,69360.97,0,0
DEBIT,29466.99,C270,78467.6,49000.61,D270,15888.27,45355.26,0,0
PAYMENT,26257.52,C271,22816.73,0.0,D271,28570.92,54828.44,0,0
CASH_OUT,10150.47,C272,19253.48,9103.01,D272,20967.88,31118.35,0,0
CASH_OUT,22594.0,C273,59001.25,36407.25,D273,54050.36,76644.36,0,0
DEBIT,39847.58,C274,74108.58,34261.0,D274,46106.57,85954.15,0,0
PAYMENT,29521.71,C275,31913.95,2392.2400000000016,D275,33029.37,62551.08,1,0
PAYMENT,4846.77,C276,10470.52,5623.75,D276,78601.48,83448.25,0,0
CASH_IN,27401.53,C277,71674.64,44273.11,D277,9397.37,36798.9,0,0
PAYMENT,35137.21,C278,29969.78,0.0,D278,97489.67,132626.88,0,0
PAYMENT,39635.38,C279,16636.27,0.0,D279,11654.41,51289.78999999999,0,0
PAYMENT,31456.25,C280,14772.35,0.0,D280,77307.08,108763.33,0,0
TRANSFER,7633.76,C281,31490.95,23857.190000000002,D281,36823.02,44456.78,0,0
CASH_IN,35508.95,C282,59267.81,23758.86,D282,86526.22,122035.17,0,0
CASH_OUT,33867.41,C283,35840.22,1972.8099999999977,D283,7416.99,41284.4,0,0
DEBIT,1222.32,C284,2066.19,843.8700000000001,D284,37472.17,38694.49,0,0
CASH_OUT,20587.97,C285,9690.84,0.0,D285,33544.34,54132.31,0,0
CASH_IN,16648.18,C286,29050.32,12402.14,D286,99315.7,115963.88,0,0
DEBIT,33470.93,C287,65970.45,32499.519999999997,D287,98554.9,132025.83,0,0
CASH_IN,10807.57,C288,9851.51,0.0,D288,18980.4,29787.97,0,0
PAYMENT,29544.01,C289,56065.69,26521.680000000004,D289,62994.7,92538.70999999999,1,0
DEBIT,45660.38,C290,11988.59,0.0,D290,53551.94,99212.32,0,0
PAYMENT,39890.32,C291,21161.53,0.0,D291,15437.35,55327.67,0,0
CASH_OUT,46072.97,C292,17218.85,0.0,D292,16777.97,62850.94,0,0
CASH_OUT,48925.32,C293,6722.86,0.0,D293,98925.17,147850.49,0,0
DEBIT,534.5,C294,67132.98,66598.48,D294,45273.0,45807.5,0,0
DEBIT,31137.44,C295,46340.35,15202.91,D295,12580.13,43717.57,0,0
CASH_IN,20642.56,C296,83105.34,62462.78,D296,21479.0,42121.56,0,0
CASH_IN,42992.86,C297,9889.08,0.0,D297,26834.81,69827.67,1,0
PAYMENT,12591.48,C298,14473.29,1881.8100000000013,D298,51091.73,63683.21000000001,0,0
DEBIT,49051.49,C299,30645.77,0.0,D299,33554.81,82606.29999999999,0,0
CASH_OUT,30685.78,C300,76586.6,45900.82000000001,D300,45501.18,76186.95999999999,1,0
CASH_IN,39677.08,C301,30575.88,0.0,D301,16649.96,56327.04,1,0
CASH_IN,4280.89,C302,40841.87,36560.98,D302,32672.87,36953.76,0,0
CASH_OUT,9173.71,C303,30160.36,20986.65,D303,7031.66,16205.369999999999,0,0
CASH_IN,37920.43,C304,8022.43,0.0,D304,88971.03,126891.45999999999,0,0
PAYMENT,1100.3,C305,93943.36,92843.06,D305,19875.25,20975.55,0,0
DEBIT,40844.08,C306,54853.9,14009.82,D306,75690.01,116534.09,0,0
CASH_OUT,698.44,C307,78783.32,78084.88,D307,34955.18,35653.62,0,0
DEBIT,32856.28,C308,65835.71,32979.43000000001,D308,47439.73,80296.01000000001,0,0
CASH_IN,18255.33,C309,51425.43,33170.1,D309,29126.1,47381.43,0,0
CASH_IN,30575.13,C310,8967.83,0.0,D310,69644.13,100219.26000000001,0,0
CASH_OUT,34801.87,C311,64273.35,29471.479999999996,D311,84454.64,119256.51000000001,0,0
PAYMENT,17124.42,C312,15537.04,0.0,D312,28627.02,45751.44,0,0
TRANSFER,5399.01,C313,41438.32,36039.31,D313,24221.76,29620.769999999997,1,0
CASH_OUT,3483.22,C314,62911.31,59428.09,D314,68144.03,71627.25,0,0
TRANSFER,29447.21,C315,78222.9,48775.689999999995,D315,19515.31,48962.520000000004,0,0
TRANSFER,26033.25,C316,68504.52,42471.270000000004,D316,63983.98,90017.23000000001,0,0
PAYMENT,37110.31,C317,67153.35,30043.040000000008,D317,9442.81,46553.119999999995,0,0
TRANSFER,25487.27,C318,14904.22,0.0,D318,62013.72,87500.99,0,0
